epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4418,3.44845,3.97301,1.16289,0.00653,0.875,0.13298,0.02679,3.3951,3.99368,1.39026,0.00030006,0.00030006,0.00030006
2,25.0049,3.28164,2.33526,1.02746,0.00626,0.875,0.01046,0.00347,3.0401,3.83594,1.50729,0.000555728,0.000555728,0.000555728
3,37.5091,3.23255,2.15864,1.0007,0.00283,0.25,0.20583,0.04113,3.02529,2.99101,1.70456,0.000748683,0.000748683,0.000748683
4,50.3038,3.31943,2.0923,1.0316,0.00256,0.25,0.04279,0.01845,2.64907,3.4018,1.47326,0.000878926,0.000878926,0.000878926
5,62.8069,3.30122,2.09272,1.00751,0.6045,0.125,0.13878,0.06233,2.26356,2.24078,1.38765,0.000946456,0.000946456,0.000946456
6,75.3278,3.30122,1.9461,0.97023,0.70587,0.10294,0.08625,0.04313,2.42842,2.09483,1.44417,0.000841835,0.000841835,0.000841835
7,87.4401,3.19413,1.99236,0.96492,1,0.35318,0.44357,0.12435,2.36067,1.8461,1.39991,0.000676802,0.000676802,0.000676802
8,99.5147,3.12286,1.90404,0.96907,0.72013,0.375,0.327,0.13007,2.05384,1.9711,1.31927,0.000511769,0.000511769,0.000511769
9,111.551,2.96019,1.82171,0.95186,0.74741,0.25,0.31807,0.12279,1.92875,1.83106,1.27444,0.000346736,0.000346736,0.000346736
10,123.846,2.96129,1.9072,0.95585,0.7023,0.375,0.3589,0.15771,1.81601,1.68835,1.24619,0.000181703,0.000181703,0.000181703
